C,SETP.WORLD,DVD_DISPATCHREGIONSUM,AEMO,PUBLIC,2025/02/20,09:44:00,001740008640062,MONTHLY_ARCHIVE,001740008640062
I,DISPATCH,REGIONSUM,8,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGEGATEDISPATCHERROR,AGGREGATEDISPATCHERROR,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECACTUALAVAILABILITY,RAISE60SECACTUALAVAILABILITY,RAISE5MINACTUALAVAILABILITY,RAISEREGACTUALAVAILABILITY,LOWER6SECACTUALAVAILABILITY,LOWER60SECACTUALAVAILABILITY,LOWER5MINACTUALAVAILABILITY,LOWERREGACTUALAVAILABILITY,LORSURPLUS,LRCSURPLUS,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW,SS_SOLAR_UIGF,SS_WIND_UIGF,SS_SOLAR_CLEAREDMW,SS_WIND_CLEAREDMW,SS_SOLAR_COMPLIANCEMW,SS_WIND_COMPLIANCEMW,WDR_INITIALMW,WDR_AVAILABLE,WDR_DISPATCHED,SS_SOLAR_AVAILABILITY,SS_WIND_AVAILABILITY,RAISE1SECLOCALDISPATCH,LOWER1SECLOCALDISPATCH,RAISE1SECACTUALAVAILABILITY,LOWER1SECACTUALAVAILABILITY,BDU_ENERGY_STORAGE,BDU_MIN_AVAIL,BDU_MAX_AVAIL,BDU_CLEAREDMW_GEN,BDU_CLEAREDMW_LOAD
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:05:00",1,NSW1,20241231241,0,7251.07,12034.75116,220,-28,7612.94,6,355.87,0,,,85,,,,,,,,136,,,,,,,,95,,,,,,,,42.68,,,,,,,,27,,,,,,,,55,,,,,,,0,"2025/01/01 00:00:03",7307.44285,7284.11,,5,,,,10,,,,,,,,,,,,,,,,,,,345.79614,364.79614,575.938997,241.889873,704,873,583,438.433589,,,92.33276,7376.44276,852.75116,852.75116,0,0,852.75116,0,852.75116,0,0,0,0,0,0,852.75116,45.16,20.41,154,145,,220,121,10,6
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:05:00",1,QLD1,20241231241,0,6444.99,9145.64397,420,-42,5965.77,0,-479.22,0,,,132,,,,,,,,42,,,,,,,,40,,,,,,,,69,,,,,,,,248,,,,,,,,251,,,,,,,-7.662,"2025/01/01 00:00:03",6506.42244,6458.03,,15,,,,29,,,,,,,,,,,,,,,,,,,425.482759,547.444444,281.423077,383.952229,449.54386,629.561404,388.561404,520.898102,,,105.782,6563.812,411.64397,411.64397,0,0,411.64397,0,411.64397,0,0,0,0,0,0,411.64397,75,2,130,120,,420,379,58,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:05:00",1,SA1,20241231241,0,1379.47,2473.89912,412,12,1000.9,0,-378.57,0,,,55,,,,,,,,101,,,,,,,,80.42,,,,,,,,77,,,,,,,,77,,,,,,,,129.72,,,,,,,-25,"2025/01/01 00:00:03",1399.7585,1384.52,,10,,,,78.29,,,,,,,,,,,,,,,,,,,273.7119,281.7119,281.7119,159.578,285,288,288,486.4,,,0,1384.52,673.89912,673.89912,0,0,673.89912,0,673.89912,0,0,0,0,0,0,673.89912,115,9,246.7119,268,,412,328,137,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:05:00",1,TAS1,20241231241,0,989.78,1885.64851,0,2,899.07,0,-90.71,0,,,0,,,,,,,,76.33,,,,,,,,76.33,,,,,,,,0,,,,,,,,3,,,,,,,,3,,,,,,,-12.07757,"2025/01/01 00:00:03",999.85529,989.78,,50,,,,50,,,,,,,,,,,,,,,,,,,112.324334,103.101506,165.269663,118.000048,79.549837,375.0597,632.535923,408.815673,,,87.47,1077.25,15.64851,15.64851,0,0,15.64851,0,15.64851,0,0,0,0,0,0,15.64851,2,0,2,0,,0,0,0,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:05:00",1,VIC1,20241231241,0,4339,8123.70984,670,-4,4989.55,0,650.55,0,,,34,,,,,,,,61.49,,,,,,,,28,,,,,,,,262,,,,,,,,247.72,,,,,,,,164,,,,,,,0,"2025/01/01 00:00:03",4360.12324,4351.8,,130,,,,62,,,,,,,,,,,,,,,,,,,646,652,650,93,424.0001,526.0001,474.0001,782.66688,,,97.377,4449.177,500.70984,500.70984,0,0,500.70984,0,500.70984,0,0,0,0,0,0,500.70984,107,3,145,133,,670,271,140,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:10:00",1,NSW1,20241231242,0,7297.85,12019.46909,220,-23,7610.91,6,307.06,0,,,44,,,,,,,,111,,,,,,,,111,,,,,,,,103,,,,,,,,90,,,,,,,,118,,,,,,,10.78143,"2025/01/01 00:05:03",7349.94298,7332.07,,5,,,,58,,,,,,,,,,,,,,,,,,,312.55847,331.55847,553.415613,200.29168,590,759,449,339.47348,,,91.19277,7423.26277,837.46909,837.46909,0,0,837.46909,0,837.46909,0,0,0,0,0,0,837.46909,78,28,160,111,,220,121,0,6
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:10:00",1,QLD1,20241231242,0,6469.55,9152.55683,420,-19,6002.85,0,-466.7,0,,,40,,,,,,,,43,,,,,,,,8.33,,,,,,,,30,,,,,,,,208,,,,,,,,212,,,,,,,-12.54417,"2025/01/01 00:05:03",6516.39987,6482.35,,13,,,,63,,,,,,,,,,,,,,,,,,,384.586207,505.555556,239.538462,377.961519,437.54386,609.561404,388.561404,678.304722,,,104.773,6587.123,418.55683,418.55683,0,0.00063,418.5562,0.00063,418.5562,0,0,0,0,0,0.00063,418.5562,43,2,91,120,,420,379,105,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:10:00",1,SA1,20241231242,0,1367.61,2335.33266,387,7,982.33,0,-385.28,0,,,87,,,,,,,,100,,,,,,,,93,,,,,,,,90,,,,,,,,90,,,,,,,,109.42,,,,,,,-25,"2025/01/01 00:05:03",1390.93164,1372.86,,0,,,,39,,,,,,,,,,,,,,,,,,,280,282,282,77,287,287,287,174.64999,,,0,1372.86,651.33266,651.33267,0,0,651.33266,0,651.33267,0,0,0,0,0,0,651.33266,124.58,7.28,257,270,,387,212,101,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:10:00",1,TAS1,20241231242,0,991.04,1884.4,0,0,891.04,0,-100,0,,,0,,,,,,,,67.31,,,,,,,,67.31,,,,,,,,0,,,,,,,,3,,,,,,,,3,,,,,,,-11.29727,"2025/01/01 00:05:03",1002.33417,991.04,,50,,,,50,,,,,,,,,,,,,,,,,,,124.730603,110.443397,175.832763,132.563148,77.754516,323.979757,621.938576,409.5751,,,82.97685,1074.01685,14.4,14.4,0,0,14.4,0,14.4,0,0,0,0,0,0,14.4,2,0,2,0,,0,0,0,0
D,DISPATCH,REGIONSUM,8,"2025/01/01 00:10:00",1,VIC1,20241231242,0,4310.79,8140.55688,670,-21,5016.14,0,705.36,0,,,104.93,,,,,,,,96.56,,,,,,,,41,,,,,,,,231.49,,,,,,,,215.42,,,,,,,,164,,,,,,,24.67723,"2025/01/01 00:05:03",4321.8099,4324.96,,142,,,,10,,,,,,,,,,,,,,,,,,,659.41256,665.41256,663.41256,46.41256,335.0001,417.0001,365.0001,395.81262,,,95.688,4420.648,515.55688,515.55688,0,0,515.55688,0,515.55688,0,0,0,0,0,0,515.55688,109,3,157.41256,134,,670,271,184.58744,0
